observed_at,available_count,preparing_count,total_rooms,available_rooms
2026-09-05T22:27:48+09:00,0,0,50,
2026-09-05T22:40:46+09:00,0,1,50,
2026-09-05T22:55:43+09:00,0,4,50,
2026-09-05T23:16:34+09:00,1,2,50,403
2026-09-05T23:28:11+09:00,0,0,50,
2026-09-05T23:41:36+09:00,0,1,50,
2026-09-05T23:55:21+09:00,0,1,50,
2026-09-06T00:16:27+09:00,0,0,50,
2026-09-06T00:27:37+09:00,0,0,50,
2026-09-06T00:41:57+09:00,1,0,50,517
2026-09-06T00:54:44+09:00,3,0,50,318|417|517
2026-09-06T01:17:11+09:00,0,0,50,
2026-09-06T01:28:36+09:00,0,0,50,
2026-09-06T01:41:29+09:00,0,0,50,
2026-09-06T01:54:55+09:00,0,0,50,
2026-09-06T02:14:38+09:00,0,0,50,
2026-09-06T03:18:25+09:00,0,0,50,
2026-09-06T04:14:22+09:00,0,0,50,
2026-09-06T05:16:36+09:00,0,0,50,
2026-09-06T06:15:22+09:00,0,0,50,
2026-09-06T07:15:40+09:00,0,0,50,
2026-09-06T08:14:49+09:00,2,0,50,315|518
2026-09-06T09:29:22+09:00,0,6,50,
2026-09-06T10:15:52+09:00,1,7,50,502
2026-09-06T10:43:52+09:00,4,6,50,201|203|405|502
2026-09-06T11:17:31+09:00,4,6,50,201|212|302|612
2026-09-06T11:43:18+09:00,5,3,50,212|305|312|416|515
2026-09-06T12:17:42+09:00,5,4,50,315|415|503|518|611
2026-09-06T12:43:33+09:00,3,1,50,101|102|411
2026-09-06T13:18:13+09:00,3,1,50,405|413|513
2026-09-06T13:43:33+09:00,0,0,50,
2026-09-06T14:16:06+09:00,1,2,50,202
2026-09-06T14:41:53+09:00,0,3,50,
2026-09-06T15:21:45+09:00,0,5,50,
2026-09-06T15:46:30+09:00,0,4,50,
2026-09-06T16:16:46+09:00,2,1,50,101|413
2026-09-06T16:42:53+09:00,0,2,50,
2026-09-06T17:18:54+09:00,0,1,50,
2026-09-06T17:44:13+09:00,4,5,50,313|502|511|611
2026-09-06T18:17:38+09:00,4,3,50,415|502|512|611
2026-09-06T18:30:02+09:00,5,3,50,201|418|502|516|611
2026-09-06T18:42:42+09:00,4,3,50,411|502|516|611
2026-09-06T18:55:07+09:00,4,4,50,413|502|516|611
2026-09-06T19:17:42+09:00,5,3,50,302|402|502|516|611
2026-09-06T19:29:39+09:00,8,4,50,202|302|315|402|412|502|516|612
2026-09-06T19:42:37+09:00,6,4,50,202|403|416|502|513|615
2026-09-06T19:55:08+09:00,8,4,50,202|213|401|403|502|513|518|615
2026-09-06T20:16:33+09:00,10,4,50,202|205|213|218|312|401|418|502|513|612
2026-09-06T20:28:12+09:00,11,3,50,211|213|218|312|316|401|418|502|513|612|613
2026-09-06T20:41:46+09:00,9,4,50,213|303|312|316|401|502|513|612|613
2026-09-06T20:55:06+09:00,12,2,50,213|215|303|305|312|316|317|401|502|513|612|613
2026-09-06T21:21:55+09:00,5,3,50,305|312|401|405|515
2026-09-06T21:37:01+09:00,5,1,50,212|305|401|505|515
2026-09-06T21:49:47+09:00,2,1,50,505|515
2026-09-06T21:58:11+09:00,4,0,50,302|315|501|517
2026-09-06T22:17:03+09:00,4,3,50,302|315|501|518
2026-09-06T22:28:14+09:00,4,1,50,301|302|315|501
2026-09-06T22:42:29+09:00,3,0,50,315|417|501
2026-09-06T22:55:44+09:00,2,1,50,318|501
2026-09-06T23:17:12+09:00,4,1,50,201|215|303|311
2026-09-06T23:28:48+09:00,3,1,50,201|315|516
2026-09-06T23:42:20+09:00,5,2,50,201|212|315|503|516
2026-09-06T23:55:47+09:00,5,0,50,201|212|315|503|516
2026-09-07T00:17:23+09:00,3,0,50,201|312|516
2026-09-07T00:28:16+09:00,2,0,50,202|401
2026-09-07T00:42:23+09:00,2,0,50,201|202
2026-09-07T00:54:38+09:00,1,0,50,202
2026-09-07T01:18:13+09:00,2,0,50,102|203
2026-09-07T01:30:09+09:00,3,0,50,203|205|516
2026-09-07T01:42:18+09:00,4,0,50,203|205|516|517
2026-09-07T01:54:43+09:00,2,0,50,205|516
2026-09-07T02:14:31+09:00,3,0,50,205|403|516
2026-09-07T03:18:38+09:00,3,0,50,203|511|516
2026-09-07T04:14:22+09:00,3,0,50,318|415|516
2026-09-07T05:16:54+09:00,4,0,50,302|318|415|516
2026-09-07T06:15:38+09:00,4,0,50,302|318|415|516
2026-09-07T07:16:45+09:00,6,1,50,205|218|302|312|415|516
2026-09-07T08:15:16+09:00,8,0,50,202|205|212|218|301|312|415|516
2026-09-07T09:29:16+09:00,8,2,50,202|212|218|301|401|403|515|516
